X,Y
-1.020690273,0.105517543
0.905826497,0.457857514
0.618421752,0.757086323
1.227707008,-0.425185116
0.329355941,-0.206945678
0.181424817,0.111389766
-0.62408895,0.818420699
1.580938063,-0.24960371
1.786805135,-0.169014701
0.142772056,0.971544477
-0.467545663,0.804881727
1.884800215,-0.059411938
1.503298486,-0.389500232
-0.805466315,0.573883368
1.898271206,0.126875555
1.818237474,-0.116465202
-0.136612342,1.105760582
1.063025409,-0.507148112
-0.929985486,0.573213754
-0.488950223,0.789212547
0.307148004,-0.129225472
0.885163791,0.528566808
0.961159735,-0.559710084
-0.929461328,0.255506527
-0.435546022,0.8337285
-0.364626935,0.888479416
-0.850336581,0.521645998
-0.506001155,0.896752209
0.255143058,-0.205401079
0.40428098,-0.388314467
1.003426651,0.269752831
0.901722631,0.567538818
-0.03692707,0.989496025
-0.794054301,0.688352529
0.967715183,-0.451015128
0.01014419,0.366543956
0.549726768,-0.358976733
0.591031763,-0.383501804
1.496345171,-0.41310086
-0.791566781,0.641120735
-0.769764796,0.597531873
2.029490423,0.524722954
0.368433908,0.893701016
0.776605214,0.692647054
0.277577915,-0.089477682
1.944004408,0.442507777
0.650865785,0.765566622
0.838899037,0.579920238
0.796389923,-0.435206747
-0.844240641,0.401295854
0.163617528,0.119615218
1.690124219,-0.225782663
0.92981062,0.082962976
0.329741728,-0.277388155
0.14003478,-0.040410529
-0.767934237,0.752456936
0.682353034,-0.450892306
-1.044152556,0.014987071
1.732879741,-0.249322024
-0.967993105,0.031512453
1.699508707,-0.222405264
-0.929814902,0.104862219
0.554677228,0.854673555
0.98076892,0.340233968
0.421841675,0.812537156
0.137732465,0.016005223
0.219046581,0.955919223
1.965959469,0.107355189
-0.912223889,0.3450529
0.6034498,-0.327064446
-0.113923504,1.091053129
0.308602196,-0.319745561
1.374475528,-0.32875401
0.265501707,0.917212576
0.093999343,-0.045896743
-0.015856536,0.034059823
0.755662794,0.800754899
0.666511429,-0.468284057
0.002925445,0.617399846
0.080556155,0.203466765
0.9878638,0.06646875
-0.733686308,0.649092351
0.015969351,1.057865503
1.8976112490000001,0.233903426
2.002291127,0.252400634
-0.880960181,0.424370018
1.332564583,-0.423767947
0.459664536,0.886405508
1.928381115,0.200493011
-0.309285667,1.006775373
0.784145139,0.671853316
0.702041143,-0.420004426
0.028090308,0.432765669
0.410616419,0.804996899
0.906232484,0.400117009
2.065081877,0.32002271
1.276524608,-0.441821089
0.982536023,0.235797949
0.628701329,0.803206724
0.182768503,-0.050209194
0.97840279,0.095937719
0.62284135,0.902986784
0.674638809,-0.494150244
0.917931308,-0.549654465
0.079040943,0.251620248
0.791394493,-0.485248605
0.84557023,0.400555022
-0.401799751,0.962544947
0.102324134,0.196231584
0.86749663,-0.483647328
1.52795546,-0.322398324
1.057717717,-0.023869087
1.96628517,0.536277635
1.008984403,-0.41533685
-0.620725899,0.795533699
0.22061842,-0.169178775
-0.380509701,0.934536929
0.198282502,0.989251403
1.343134514,-0.451838841
0.613392605,0.799030287
0.300403009,1.004077457
0.055732668,0.251569542
1.287436243,-0.464496419
1.183209558,-0.385804096
0.761495465,0.80349856099999994
0.739717853,0.715584457
1.816192976,0.080973799
0.912863845,-0.564607674
-0.789623513,0.450134251
0.231432637,0.963124642
1.582487439,-0.284043664
0.116348108,1.070687707
-0.952426741,0.151386424
1.138634282,-0.503932501
0.219580544,0.923935153
0.660159888,-0.438468536
1.00925368,0.108992195
-0.110052119,0.296933913
-0.116269633,0.991064217
0.512969465,-0.350907989
1.899488248,-0.05143694
1.770401909,-0.19811516
1.834497033,0.096979678
0.068888305,1.076942678
-0.865071235,0.551866642
0.484387759,0.98382331
0.98117286,0.297873676
0.058427527,0.245628814
-0.916619709,0.259452394
-0.924868539,0.472742014
1.819716708,-0.122877742
1.819571016,-0.057756249
-1.036614773,0.384250385
1.012251879,0.244294096
0.926115178,0.292387244
-0.3212561,1.021624523
1.679630036,-0.259611436
0.445344023,-0.292749583
0.843914158,0.430442732
-0.655170691,0.775905541
1.779867922,-0.2621388
0.52158336,-0.385218546
1.472162872,-0.325341766
1.911217779,-7.31352e-4
-0.312660383,0.893663995
-0.164649012,0.966037874
-0.016204741,0.251738193
-0.087570407,0.990297486
1.998345623,0.290803832
-0.271571289,0.965948863
0.073311365,1.059099093
-0.897124908,0.311001957
0.749232486,0.647134206
-0.263122927,0.910408867
1.44577505,-0.460537032
1.944103578,0.170082964
0.436960417,-0.345158633
0.387776154,0.970785452
1.187145508,-0.467837446
2.058118068,0.187911403
0.95897125,-0.013499161
-0.088595213,0.994465232
0.931070905,-0.532592795
0.381281842,-0.332115414
1.058493052,-0.453339133
0.057294627,0.43762567
-1.043698706,-1.64796e-4
0.244867093,0.064529899
-0.950393161,0.450764365
-0.720878347,0.679274073
0.283733502,-0.183641451
1.904311121,0.547064229
0.806654804,0.599276203
1.921621479,0.146055188
-0.653458162,0.744846818
-0.001024208,0.290076194
0.86149735,0.402536452
-1.100567763,0.254542643
1.824782921,-0.097153371
0.013879543,0.450254951
